"","DateTime","Air_Temperature_celsius","Surface_Level_Barometric_Pressure_pascal","Relative_Humidity_percent","Ten_Meter_Elevation_Wind_Speed_meterPerSecond","Ten_Meter_Elevation_Wind_Direction_degree","Shortwave_Radiation_Downwelling_wattPerMeterSquared","Cloud_Cover_decimalFraction","Ten_Meter_Uwind_vector_meterPerSecond","Ten_Meter_Vwind_vector_meterPerSecond","Dewpoint_Temperature_celsius","Longwave_Radiation_Downwelling_wattPerMeterSquared","Rainfall_millimeterPerHour","Snowfall_millimeterPerHour","Sea_Level_Barometric_Pressure_pasca","Vapor_Pressure_milliBar"
"118467",2023-07-08 02:00:00,17.8166666666667,97270,53.3666666666667,1.8,80,0,0,1.77265395542197,0.312566719800475,8.49000000000004,NA,NA,NA,NA,NA
"118468",2023-07-08 03:00:00,17.9,97265,52.6333333333333,2.05,83.3333333333333,1.11111111111111,0.75,2.03613863337098,0.237990473956723,8.42666666666666,NA,NA,NA,NA,NA
"118469",2023-07-08 04:00:00,17.9666666666667,97288.3333333333,52.7166666666667,2.28333333333333,88.3333333333333,17.7777777777778,0,2.28236736935435,0.0664101077967724,8.51000000000004,NA,NA,NA,NA,NA
"118470",2023-07-08 05:00:00,18.85,97290,54.7666666666667,2.13333333333333,70,156.111111111111,0,2.00467759100993,0.729642972428092,9.80333333333334,NA,NA,NA,NA,NA
"118471",2023-07-08 06:00:00,21.0333333333333,97291.6666666667,51.3833333333333,1.71666666666667,68.3333333333333,346.388888888889,0.125,1.59537991658938,0.633803886220111,11.31,NA,NA,NA,NA,NA
"118472",2023-07-08 07:00:00,23.8666666666667,97296.6666666667,42.9166666666667,2.18333333333333,83.3333333333333,518.055555555556,0,2.16857041440324,0.25346952917342,12.45,NA,NA,NA,NA,NA
"118473",2023-07-08 08:00:00,26.4666666666667,97313.3333333333,35.3666666666667,2.86666666666667,120,646.111111111111,0,2.48260615751539,-1.43333333333333,13.54,NA,NA,NA,NA,NA
"118474",2023-07-08 09:00:00,27.2833333333333,97330,34.35,3.88333333333333,130,750,0.875,2.9748059207787,-2.49615855094939,14.1533333333333,NA,NA,NA,NA,NA
"118475",2023-07-08 10:00:00,28.5833333333333,97325,31.1166666666667,3.41666666666667,170,850.277777777778,0.375,0.593297940362012,-3.36475982279171,14.8066666666666,NA,NA,NA,NA,NA
"118476",2023-07-08 11:00:00,29,97296.6666666667,30.6666666666667,3.7,150,886.944444444444,0,1.85,-3.20429399400242,15.1333333333333,NA,NA,NA,NA,NA
"118477",2023-07-08 12:00:00,29.75,97271.6666666667,29.9166666666667,3.93333333333333,135,875.277777777778,0,2.78128667266708,-2.78128667266708,15.7333333333333,NA,NA,NA,NA,NA
"118478",2023-07-08 13:00:00,30.3166666666667,97258.3333333333,29.45,4.16666666666667,136.666666666667,817.777777777778,0,2.85934015778637,-3.03072350655439,16.2066666666667,NA,NA,NA,NA,NA
"118479",2023-07-08 14:00:00,29.8833333333333,97265,29.6666666666667,3.65,128.333333333333,520.277777777778,0,2.86311717695646,-2.26385954312913,15.8166666666666,NA,NA,NA,NA,NA
"118480",2023-07-08 15:00:00,29.9166666666667,97258.3333333333,31.3166666666667,3.71666666666667,136.666666666667,503.888888888889,0.75,2.55053142074545,-2.70340536784651,16.18,NA,NA,NA,NA,NA
"118481",2023-07-08 16:00:00,29.95,97258.3333333333,31.6333333333333,2.15,200,351.111111111111,0.75,-0.735343308150188,-2.0203391346897,16.2766666666667,NA,NA,NA,NA,NA
"118482",2023-07-08 17:00:00,29.7833333333333,97235,31.2666666666667,1.48333333333333,183.333333333333,257.5,1,-0.0862481628838639,-1.48082376810238,16.0366666666666,NA,NA,NA,NA,NA
"118483",2023-07-08 18:00:00,28.3333333333333,97253.3333333333,37.1666666666667,1.6,138.333333333333,86.6666666666667,1,1.06367338498231,-1.19524011398559,15.7666666666666,NA,NA,NA,NA,NA
"118484",2023-07-08 19:00:00,24.0833333333333,97348.3333333333,52.9833333333333,3.98333333333333,206.666666666667,14.4444444444444,0.875,-1.78771673446519,-3.55963668395491,14.68,NA,NA,NA,NA,NA
"118485",2023-07-08 20:00:00,23.7666666666667,97390,49.65,1.83333333333333,148.333333333333,0,0.875,0.962457063946701,-1.56038056613449,13.6966666666667,NA,NA,NA,NA,NA
"118486",2023-07-08 21:00:00,24.0333333333333,97405,47.0666666666667,2.1,171.666666666667,0,0.125,0.304356904545207,-2.07782744101999,13.4466666666666,NA,NA,NA,NA,NA
"118487",2023-07-08 22:00:00,23.5166666666667,97408.3333333333,47.6333333333333,1.13333333333333,145,0,0.25,0.650053294531183,-0.928372316860855,13.0433333333334,NA,NA,NA,NA,NA
